Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
290,00:00:12.095,4.249322493224933,5.666666666666667,3.2750677506775068,3.806233062330623
291,00:00:12.137,4.026196928635953,5.170731707317073,3.05420054200542,3.8536585365853657
292,00:00:12.179,3.76513098464318,3.8116531165311653,3.1612466124661247,4.322493224932249
293,00:00:12.221,4.041553748870822,4.733062330623306,3.462059620596206,3.9295392953929538
294,00:00:12.262,3.7276422764227637,4.3468834688346885,3.168021680216802,3.668021680216802
295,00:00:12.304,3.680216802168022,4.754742547425474,3.0447154471544717,3.241192411924119
296,00:00:12.346,4.093947606142728,5.170731707317073,3.299457994579946,3.8116531165311653
297,00:00:12.387,3.814363143631437,4.941734417344174,3.073170731707317,3.4281842818428183
298,00:00:12.429,3.4078590785907856,3.705962059620596,2.861788617886179,3.6558265582655824
299,00:00:12.471,4.096657633242999,5.009485094850948,3.2330623306233064,4.047425474254743
300,00:00:12.512,4.1531165311653115,5.638211382113822,3.062330623306233,3.758807588075881
301,00:00:12.554,4.473351400180669,5.757452574525745,3.440379403794038,4.222222222222222
302,00:00:12.596,4.210027100271002,5.548780487804878,3.3008130081300813,3.7804878048780486
303,00:00:12.638,3.822041553748871,4.058265582655826,3.2493224932249323,4.158536585365853
304,00:00:12.679,4.512195121951219,6.205962059620596,3.2737127371273713,4.056910569105691
305,00:00:12.721,4.57813911472448,6.711382113821138,3.4810298102981028,3.5420054200542004
306,00:00:12.763,4.084914182475158,5.880758807588076,3.0880758807588076,3.285907859078591
307,00:00:12.804,3.5302619692863595,4.28590785907859,3.0718157181571817,3.2330623306233064
308,00:00:12.846,3.69873532068654,4.746612466124661,2.907859078590786,3.4417344173441733
309,00:00:12.888,3.303523035230352,3.4146341463414633,3.0948509485094853,3.4010840108401084
310,00:00:12.930,3.214543812104788,3.7113821138211383,2.607046070460705,3.3252032520325203
311,00:00:12.971,3.376693766937669,4.134146341463414,2.8956639566395665,3.100271002710027
312,00:00:13.013,2.9652213188798555,3.2642276422764227,2.807588075880759,2.823848238482385
313,00:00:13.055,3.2326106594399278,3.348238482384824,3.2764227642276422,3.073170731707317
314,00:00:13.096,2.7592592592592595,2.5745257452574526,2.686991869918699,3.016260162601626
315,00:00:13.138,2.6151761517615175,2.892953929539295,2.334688346883469,2.6178861788617884
316,00:00:13.180,3.121499548328817,4.163956639566396,2.296747967479675,2.9037940379403793
317,00:00:13.222,2.9733514001806687,3.0474254742547426,2.789972899728997,3.0826558265582658
318,00:00:13.263,3.508130081300813,4.249322493224932,3.032520325203252,3.2425474254742546
319,00:00:13.305,2.3089430894308944,1.5365853658536586,2.644986449864499,2.745257452574526
320,00:00:13.347,3.741644083107498,5.32520325203252,2.754742547425474,3.144986449864499
321,00:00:13.388,3.0225835591689254,3.2357723577235773,2.8279132791327912,3.0040650406504064
322,00:00:13.430,3.1657633242999097,3.149051490514905,3.154471544715447,3.193766937669377
323,00:00:13.472,3.2000903342366755,3.388888888888889,3.0718157181571817,3.1395663956639566
324,00:00:13.513,3.5117434507678413,4.013550135501355,3.1097560975609757,3.4119241192411924
325,00:00:13.555,3.8134598012646794,4.638211382113822,3.1395663956639566,3.66260162601626
326,00:00:13.597,3.761517615176152,5.510840108401084,2.7249322493224932,3.048780487804878
327,00:00:13.639,3.1377597109304425,3.4932249322493223,2.907859078590786,3.0121951219512195
328,00:00:13.680,2.7746160794941286,2.8116531165311653,2.792682926829268,2.7195121951219514
329,00:00:13.722,2.8188798554652212,3.040650406504065,2.5813008130081303,2.834688346883469
330,00:00:13.764,75.45347786811202,102.4769647696477,69.49457994579946,54.388888888888886
